lesson_id,lesson_no,title_fr_official,system_short_title,category_id,category_code,category_slug,subcategory_id,subcategory_code,subcategory_slug,mapping_status,mapping_basis,source_ref,taxonomy_version
eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,etre,ec3e2ec8-5edd-58c6-af79-bfe6bdd2a3af,CAT01,verbs_conjugation,270c356c-71f5-56f3-9210-6468e85f5e09,SUB01,core_irregular_verbs,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 1; printed pp. 8-11; PDF pp. 10-13,taxonomy-v0.9.0
734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),adjectif_1,84aebd88-ac6e-5ab2-bc0f-6b4265db82c6,CAT06,modification_agreement,a51f2ce8-396f-5dad-824c-104415a0db1b,SUB14,adjectives_agreement_position,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 2; printed pp. 12-17; PDF pp. 14-19,taxonomy-v0.9.0
3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),negation_interrogation_1,6226bbab-7245-5914-8dfe-94ea4ff473c5,CAT09,sentence_structure,e44f2466-3d37-5fe6-9e85-f02b6d689a4c,SUB23,negation_interrogation,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 3; printed pp. 18-21; PDF pp. 20-23,taxonomy-v0.9.0
26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,LE NOM et L’ARTICLE,nom_article,62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,nominal_determiners,ab2c9b91-c67f-59dd-84b9-e4a91a243206,SUB11,nouns_articles,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 4; printed pp. 22-31; PDF pp. 24-33,taxonomy-v0.9.0
99f46643-99ba-428d-bdaf-193d018572cc,5,« C’EST » et « IL EST »,cest_il_est,6226bbab-7245-5914-8dfe-94ea4ff473c5,CAT09,sentence_structure,c575cce2-fbae-5194-afe4-bacfd0927dba,SUB24,presentation_existence,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 5; printed pp. 32-35; PDF pp. 34-37,taxonomy-v0.9.0
f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,LES POSSESSIFS,possessifs,62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,nominal_determiners,091f8261-861f-515f-8399-8a423fc17673,SUB12,possessive_demonstrative,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 6; printed pp. 36-37; PDF pp. 38-39,taxonomy-v0.9.0
4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,7,LES NOMS de PARENTÉ et de GROUPE,noms_parente_groupe,62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,nominal_determiners,ab2c9b91-c67f-59dd-84b9-e4a91a243206,SUB11,nouns_articles,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 7; printed pp. 38-39; PDF pp. 40-41,taxonomy-v0.9.0
d68e9726-6d53-4ffb-935c-fd8f24aae9ec,8,LES DÉMONSTRATIFS,demonstratifs,62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,nominal_determiners,091f8261-861f-515f-8399-8a423fc17673,SUB12,possessive_demonstrative,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 8; printed pp. 40-41; PDF pp. 42-43,taxonomy-v0.9.0
3a93c97f-cdce-4896-98be-892e3354b7fc,9,« IL Y A » et « C’EST »,il_y_a_cest,6226bbab-7245-5914-8dfe-94ea4ff473c5,CAT09,sentence_structure,c575cce2-fbae-5194-afe4-bacfd0927dba,SUB24,presentation_existence,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 9; printed pp. 42-43; PDF pp. 44-45,taxonomy-v0.9.0
988143e8-7e0e-46e1-94a0-f87f7a1267f5,10,LA SITUATION dans l’ESPACE (1),situation_espace_1,9d68a1e9-3848-52b2-a74c-586c3e694e73,CAT08,prepositions_reference,a65bc236-a8de-5a13-ab61-cb05cc8a9be0,SUB19,spatial_reference,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 10; printed pp. 44-47; PDF pp. 46-49,taxonomy-v0.9.0
a02fe5a3-8336-4749-8b93-f43d0a82948a,11,LE VERBE « AVOIR »,avoir,ec3e2ec8-5edd-58c6-af79-bfe6bdd2a3af,CAT01,verbs_conjugation,270c356c-71f5-56f3-9210-6468e85f5e09,SUB01,core_irregular_verbs,stage2_owner_approved_mapping,stage1 lesson title + atomic subtopics; Stage2 project classification,Lesson 11; printed pp. 48-53; PDF pp. 50-55,taxonomy-v0.9.0
