lesson_id,lesson_no,tag_id,tag_code,tag_slug,assignment_order,assignment_basis,taxonomy_version
eb643021-d5f2-4093-8fd2-835a2199ef3f,1,d650b9ae-7207-53fe-8b27-9f8e130d114b,TAG001,present,1,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
eb643021-d5f2-4093-8fd2-835a2199ef3f,1,672bf43b-99af-59dd-ae89-677691337966,TAG008,pronunciation,2,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
734f4892-3926-439e-b274-85e9d824e225,2,80aa4964-2aca-5508-b693-484e0df9b977,TAG004,agreement,1,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
3dd22b4a-1072-4ca6-91c1-662829b94758,3,16604b24-295e-5cbf-b631-1b2ba0182a71,TAG006,negation,1,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
3dd22b4a-1072-4ca6-91c1-662829b94758,3,c9500ddf-691d-571f-acd7-f84a5ff2fbef,TAG007,interrogation,2,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
3dd22b4a-1072-4ca6-91c1-662829b94758,3,0367c229-2bde-5243-816f-f09652db4779,TAG010,register_variation,3,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,b1f3d05e-5e60-585c-9b28-f4263258f8f9,TAG005,articles,1,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
26acbe21-6e4d-4c22-a0e6-27e27f3bb5ab,4,80aa4964-2aca-5508-b693-484e0df9b977,TAG004,agreement,2,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
99f46643-99ba-428d-bdaf-193d018572cc,5,8ceb7dd8-e70b-593d-9c77-1f6f0e8a4b34,TAG033,existence_presentation,1,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
99f46643-99ba-428d-bdaf-193d018572cc,5,b1f3d05e-5e60-585c-9b28-f4263258f8f9,TAG005,articles,2,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,9d00725b-c9f7-5950-91e7-8b2922bf1071,TAG011,possession,1,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
f07ba2d4-e9cf-441c-ad53-85194d85e1ff,6,b1f3d05e-5e60-585c-9b28-f4263258f8f9,TAG005,articles,2,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
4bf7f7a6-29e0-471a-8b5c-3740f60b5c8e,7,b1f3d05e-5e60-585c-9b28-f4263258f8f9,TAG005,articles,1,secondary feature evidenced in Stage1 subtopics,taxonomy-v0.9.0
